Player,College,State,AV
Toney Clemons,Colorado State University,CO,11.00
Byron Jones,Central Connecticut State University,CT,80.00
Kendall Reyes,Central Connecticut State University,CT,68.00
Sio Moore,Central Connecticut State University,CT,62.50
Donald Brown,Central Connecticut State University,CT,62.20
Donald Brown,East Oklahoma State College,CT,62.20
Shamar Stephen,Central Connecticut State University,CT,61.40
Andrew Adams,Central Connecticut State University,CT,56.33
Darius Butler,Central Connecticut State University,CT,55.71
Donald Thomas,Central Connecticut State University,CT,53.00
Robert McClain,Central Connecticut State University,CT,52.17
Tyvon Branch,Central Connecticut State University,CT,52.14
Danny Lansanah,Central Connecticut State University,CT,52.00
Dwayne Gratz,Central Connecticut State University,CT,47.75
Ryan Griffin,Central Connecticut State University,CT,43.67
Blidi Wreh-Wilson,Central Connecticut State University,CT,34.60
Anthony Sherman,Central Connecticut State University,CT,28.29
Dan Orlovsky,Central Connecticut State University,CT,25.50
Jordan Todman,Central Connecticut State University,CT,24.57
Obi Melifonwu,Central Connecticut State University,CT,21.50
Nick Williams,Central Connecticut State University,CT,20.33
Marcus Easley,Central Connecticut State University,CT,16.25
Greg Lloyd,Central Connecticut State University,CT,11.00
Greg Lloyd,,CT,11.00
Kashif Moore,Central Connecticut State University,CT,11.00
Scott Lutrus,Central Connecticut State University,CT,11.00
Trevardo Williams,Central Connecticut State University,CT,11.00
Rodney Gunter,,DE,66.25
Jamaal Jackson,,DE,32.00
Calais Campbell,,FL,96.00
Jameis Winston,,FL,95.50
Jalen Ramsey,,FL,94.00
T.Y. Hilton,Florida International University,FL,93.43
Lawrence Timmons,,FL,92.29
Telvin Smith,,FL,90.40
Darnell Dockett,,FL,90.33
Jarrad Davis,Central Florida Community College,FL,89.00
Frank Gore,,FL,88.75
Chris Myers,,FL,88.25
Cooper Carlisle,Central Florida Community College,FL,87.00
Jason Pierre-Paul,South Florida Community College,FL,86.50
Anquan Boldin,,FL,85.67
Vernon Carey,,FL,85.00
Jimmy Graham,,FL,84.75
Reggie Wayne,,FL,84.75
Vince Wilfork,,FL,84.50
Reggie Nelson,Central Florida Community College,FL,84.25
Reggie Nelson,,FL,84.25
Aaron Hernandez,Central Florida Community College,FL,84.00
Carlos Dunlap,Central Florida Community College,FL,83.75
Maurkice Pouncey,Central Florida Community College,FL,83.57
James Jones,Central Florida Community College,FL,82.80
James Jones,University of Northern Iowa,FL,82.80
James Jones,,FL,82.80
James Jones,,FL,82.80
Mike Pouncey,Central Florida Community College,FL,82.38
Trevon Coley,Florida Atlantic University,FL,82.00
Olivier Vernon,,FL,81.43
Josh Sitton,Central Florida Community College,FL,81.13
Lamar Miller,,FL,80.14
Ereck Flowers,,FL,79.25
Latavius Murray,Central Florida Community College,FL,79.00
Tre' Jackson,,FL,79.00
Greg Olsen,,FL,78.63
Antonio Cromartie,,FL,78.50
Xavier Rhodes,,FL,78.00
Kenny Clark,Central Florida Community College,FL,77.67
Kenny Clark,,FL,77.67
Nigel Bradham,,FL,77.57
Antrel Rolle,,FL,77.40
Eddie Goldman,,FL,77.25
Joe Haden,Central Florida Community College,FL,76.88
Bryan Stork,,FL,75.50
Marlon Mack,South Florida Community College,FL,75.50
Kelvin Benjamin,,FL,75.25
Asante Samuel,Central Florida Community College,FL,74.33
Orlando Franklin,,FL,74.00
Marcus Gilbert,Central Florida Community College,FL,73.88
Marcus Thomas,Central Florida Community College,FL,73.00
Marcus Thomas,,FL,73.00
Brodrick Bunkley,,FL,72.75
Duke Johnson,,FL,72.75
Rodney Hudson,,FL,72.75
Willis McGahee,,FL,72.67
Dalvin Cook,,FL,72.50
Jeremy Mincey,Central Florida Community College,FL,71.60
Christian Jones,,FL,71.20
Letroy Guion,,FL,70.50
Artie Burns,,FL,70.33
Christian Ponder,,FL,70.00
Kamerion Wimbley,,FL,69.50
Geno Hayes,,FL,69.25
Brandon Marshall,Central Florida Community College,FL,68.33
Brandon Marshall,University of Nevada-Las Vegas,FL,68.33
Allen Hurns,,FL,67.80
Stephen Nicholas,South Florida Community College,FL,67.67
Ronald Darby,,FL,67.50
Sam Shields,,FL,67.33
Jordan Reed,Central Florida Community College,FL,66.67
Cameron Erving,,FL,66.25
Max Garcia,Central Florida Community College,FL,66.25
Jeremy Shockey,,FL,66.00
Brandon Linder,,FL,65.60
Timmy Jernigan,,FL,65.40
Bryant McKinnie,,FL,65.33
Brandon Spikes,Central Florida Community College,FL,64.40
Jonathan Bostic,Central Florida Community College,FL,64.20
D.J. Humphries,Central Florida Community College,FL,64.00
Travis Benjamin,,FL,63.71
Colin McCarthy,,FL,63.67
Marcus Maye,Central Florida Community College,FL,63.50
Rashean Mathis,Bethune-Cookman College,FL,62.80
Andre Brown,,FL,62.50
Andre Brown,,FL,62.50
Nate Allen,South Florida Community College,FL,62.43
Nate Allen,,FL,62.43
Major Wright,Central Florida Community College,FL,62.20
Jacquian Williams,South Florida Community College,FL,61.50
A.J. Bouye,Central Florida Community College,FL,61.33
Riley Cooper,Central Florida Community College,FL,61.20
Mike Harris,,FL,61.14
Mike Harris,,FL,61.14
Sebastian Janikowski,,FL,61.14
Matt Elam,Central Florida Community College,FL,61.00
Will Hill,Central Florida Community College,FL,61.00
Will Hill,,FL,61.00
Tim Tebow,Central Florida Community College,FL,60.50
Lamarcus Joyner,,FL,60.40
Matt Prater,Central Florida Community College,FL,60.13
Brian Poole,Central Florida Community College,FL,60.00
Dante Fowler,Central Florida Community College,FL,60.00
Allen Bailey,,FL,59.00
Jonotthan Harrison,Central Florida Community College,FL,59.00
Santana Moss,,FL,59.00
Jabar Gaffney,Central Florida Community College,FL,58.50
Max Starks,Central Florida Community College,FL,58.33
Eric Winston,,FL,58.14
Menelik Watson,,FL,58.00
Alex Anzalone,Central Florida Community College,FL,57.00
Atari Bigby,Central Florida Community College,FL,57.00
Justin McCray,Central Florida Community College,FL,57.00
Maurice Hurt,Central Florida Community College,FL,57.00
Phillip Dorsett,,FL,57.00
Rocky McIntosh,,FL,57.00
Jelani Jenkins,Central Florida Community College,FL,56.20
Josh Evans,Central Florida Community College,FL,55.50
Josh Evans,,FL,55.50
Percy Harvin,Central Florida Community College,FL,55.50
Keanu Neal,Central Florida Community College,FL,55.33
Bjoern Werner,,FL,55.00
Graham Gano,,FL,54.88
George Selvie,South Florida Community College,FL,54.00
Jaye Howard,Central Florida Community College,FL,54.00
Mike Peterson,Central Florida Community College,FL,53.50
Quincy Wilson,Central Florida Community College,FL,53.50
Quincy Wilson,West Virginia State University,FL,53.50
Jonathan Vilma,,FL,52.00
Ernie Sims,,FL,51.67
Jacoby Brissett,Central Florida Community College,FL,51.67
Jonathan Bullard,Central Florida Community College,FL,51.67
Brandon Meriweather,,FL,51.40
Kenny Phillips,,FL,51.00
P.J. Williams,,FL,50.00
Sean Spence,,FL,50.00
Mario Edwards,,FL,48.75
Mario Edwards,,FL,48.75
Cre'von LeBlanc,Florida Atlantic University,FL,48.67
Adrian Colbert,,FL,48.00
Andra Davis,Central Florida Community College,FL,48.00
Brandon Siler,Central Florida Community College,FL,48.00
Chris Hope,,FL,48.00
Earnest Graham,Central Florida Community College,FL,48.00
Justin Vogel,,FL,48.00
Lito Sheppard,Central Florida Community College,FL,48.00
Tracy Howard,,FL,48.00
Matthew Bosher,,FL,47.38
Darryl Sharpton,,FL,47.25
Pat O'Donnell,,FL,47.00
Quinton Dunbar,Central Florida Community College,FL,46.75
EJ Manuel,,FL,46.60
Seantrel Henderson,,FL,46.60
Breshad Perriman,Central Florida Community College,FL,46.33
Clayton Geathers,Central Florida Community College,FL,46.00
Mike Jenkins,South Florida Community College,FL,46.00
Mike Jenkins,,FL,46.00
Leonard Hankerson,,FL,45.80
Will Tye,,FL,45.33
Kemal Ishmael,Central Florida Community College,FL,45.17
Jason Fox,,FL,45.00
Jon Beason,,FL,44.80
Dominique Easley,Central Florida Community College,FL,44.00
Devin Hester,,FL,43.33
Louis Murphy,Central Florida Community College,FL,42.83
Terrell McClain,South Florida Community College,FL,41.63
Chaz Green,Central Florida Community College,FL,41.00
Jah Reid,Central Florida Community College,FL,41.00
Trey Burton,Central Florida Community College,FL,40.40
Kayvon Webster,South Florida Community College,FL,40.33
Clive Walford,,FL,40.25
Danny Isidora,,FL,40.00
Jon Feliciano,,FL,40.00
Jon Halapio,Central Florida Community College,FL,40.00
Jonnu Smith,Florida International University,FL,40.00
Rob Housler,Florida Atlantic University,FL,40.00
Teez Tabor,Central Florida Community College,FL,40.00
Demarcus Robinson,Central Florida Community College,FL,39.33
David Nelson,Central Florida Community College,FL,38.50
David Nelson,,FL,38.50
Antwan Barnes,Florida International University,FL,37.50
Bruce Miller,Central Florida Community College,FL,37.40
Deon Bush,,FL,37.33
Javien Elliott,,FL,37.33
Mistral Raymond,South Florida Community College,FL,37.33
Terrance Smith,,FL,37.33
Josh Robinson,Central Florida Community College,FL,36.88
Josh Robinson,,FL,36.88
Preston Parker,,FL,36.75
Tank Carradine,,FL,36.40
Kevin Smith,Central Florida Community College,FL,36.33
Kevin Smith,Central Washington University,FL,36.33
Kevin Smith,Community College of Rhode Island,FL,36.33
Kevin Smith,,FL,36.33
Kevin Smith,,FL,36.33
Leger Douzable,Central Florida Community College,FL,36.29
Kamar Aiken,Central Florida Community College,FL,35.86
Caleb Sturgis,Central Florida Community College,FL,35.67
Thurston Armbrister,,FL,35.67
Terrence Brooks,,FL,35.20
Al-Quadin Muhammad,,FL,35.00
Leon Washington,,FL,34.75
Deonte Thompson,Central Florida Community College,FL,34.14
Dekoda Watson,,FL,34.13
Austin Reiter,South Florida Community College,FL,34.00
Erik Swoope,,FL,34.00
Garrison Sanborn,,FL,34.00
Jermaine Cunningham,Central Florida Community College,FL,34.00
Nick O'Leary,,FL,33.50
Tourek Williams,Florida International University,FL,33.50
Andre Fluellen,,FL,32.00
Bryant McFadden,,FL,32.00
Charley Hughlett,Central Florida Community College,FL,32.00
Chauncey Davis,,FL,32.00
DeDe Lattimore,South Florida Community College,FL,32.00
DeMarcus Walker,,FL,32.00
Derrick Harvey,Central Florida Community College,FL,32.00
Jarvis Moss,Central Florida Community College,FL,32.00
John Kelly,,FL,32.00
Kelly Jennings,,FL,32.00
Kevin Elliott,,FL,32.00
Lerentee McCray,Central Florida Community College,FL,32.00
Lorenzo Booker,,FL,32.00
Loucheiz Purifoy,Central Florida Community College,FL,32.00
Lucky Whitehead,Florida Atlantic University,FL,32.00
Mike Sims-Walker,Central Florida Community College,FL,32.00
Neiron Ball,Central Florida Community College,FL,32.00
Nick Collins,Bethune-Cookman College,FL,32.00
Rayshawn Jenkins,,FL,32.00
Ronald Powell,Central Florida Community College,FL,32.00
Shawn Powell,,FL,32.00
Spencer Adkins,,FL,32.00
Travis Rudolph,,FL,32.00
Trey Hendrickson,Florida Atlantic University,FL,32.00
Tyrone McKenzie,South Florida Community College,FL,32.00
Xavier Nixon,Central Florida Community College,FL,32.00
Ahmad Black,Central Florida Community College,FL,30.33
Chase Ford,,FL,30.33
Darrell Williams,South Florida Community College,FL,30.33
DeMarcus Van Dyke,,FL,30.33
Marcus Roberson,Central Florida Community College,FL,30.33
Caleb Brantley,Central Florida Community College,FL,29.50
Ladarius Gunter,,FL,29.33
Andre Caldwell,Central Florida Community College,FL,28.00
Brandon Harris,,FL,26.75
Antone Smith,,FL,26.00
Jaylen Watkins,Central Florida Community College,FL,25.50
Keith Reaser,Florida Atlantic University,FL,25.00
Randell Johnson,Florida Atlantic University,FL,25.00
Sharrod Neasman,Florida Atlantic University,FL,25.00
Tavares Gooden,,FL,25.00
Ufomba Kamalu,,FL,25.00
Sam Barrington,South Florida Community College,FL,24.75
Rashad Greene,,FL,23.33
Anthony Gaitor,Florida International University,FL,21.50
Chris Rainey,Central Florida Community College,FL,21.50
David Sharpe,Central Florida Community College,FL,21.50
Jacoby Glenn,Central Florida Community College,FL,21.50
Jerome Murphy,South Florida Community College,FL,21.50
Kion Wilson,South Florida Community College,FL,21.50
Lestar Jean,Florida Atlantic University,FL,21.50
Mack Brown,Central Florida Community College,FL,21.50
Mister Alexander,,FL,21.50
Nigel Harris,South Florida Community College,FL,21.50
Patrick Brown,Central Florida Community College,FL,21.50
Richard Goodman,,FL,21.50
Torell Troup,Central Florida Community College,FL,21.50
Brandon McGee,,FL,18.00
Brian Tyms,,FL,18.00
Eric Weems,Bethune-Cookman College,FL,18.00
Everette Brown,,FL,18.00
Harland Gunn,,FL,18.00
Justin Trattou,Central Florida Community College,FL,18.00
Adam Nissley,Central Florida Community College,FL,11.00
Adewale Ojomo,,FL,11.00
Andrew Datko,,FL,11.00
Antonio Dixon,,FL,11.00
Asante Cleveland,,FL,11.00
B.J. Daniels,South Florida Community College,FL,11.00
Bert Reed,,FL,11.00
Brandon Jenkins,,FL,11.00
Brandon Washington,,FL,11.00
Brett Romberg,,FL,11.00
Caylin Hauptmann,Florida International University,FL,11.00
Cory Nelms,,FL,11.00
Curtis Holcomb,,FL,11.00
D'Joun Smith,Florida Atlantic University,FL,11.00
David Williams,Central Florida Community College,FL,11.00
David Williams,Eastern Illinois University,FL,11.00
Dedrick Epps,,FL,11.00
Drew Miller,Central Florida Community College,FL,11.00
Dwayne Hendricks,,FL,11.00
Earl Okine,Central Florida Community College,FL,11.00
Everett Dawkins,,FL,11.00
Gerard Warren,Central Florida Community College,FL,11.00
Jacobbi McDaniel,,FL,11.00
Jamar Newsome,Central Florida Community College,FL,11.00
Javarris James,,FL,11.00
Jeff Demps,Central Florida Community College,FL,11.00
Jeremiah Warren,South Florida Community College,FL,11.00
Jermaine Grace,,FL,11.00
Leon McQuay,University of Tampa,FL,11.00
Leon Williams,,FL,11.00
Luther Robinson,,FL,11.00
Marcus Forston,,FL,11.00
Markus White,,FL,11.00
Micanor Regis,,FL,11.00
Michael Lockley,Florida Atlantic University,FL,11.00
Nicholas Taylor,Florida International University,FL,11.00
Phillip Buchanon,,FL,11.00
Rannell Hall,Central Florida Community College,FL,11.00
Rashad Butler,,FL,11.00
Rashawn Scott,,FL,11.00
Richard Gordon,,FL,11.00
Roberto Aguayo,,FL,11.00
Rodney Adams,South Florida Community College,FL,11.00
Rodney Smith,,FL,11.00
Roscoe Parrish,,FL,11.00
Rusty Smith,Florida Atlantic University,FL,11.00
Shane McDermott,,FL,11.00
Solomon Patton,Central Florida Community College,FL,11.00
Stacy Coley,,FL,11.00
Storm Johnson,Central Florida Community College,FL,11.00
Terrance Parks,,FL,11.00
Terrance Plummer,Central Florida Community College,FL,11.00
Tommy Streeter,,FL,11.00
Matthew Stafford,Coastal Georgia Community College,GA,97.25
Geno Atkins,Coastal Georgia Community College,GA,93.00
A.J. Green,Coastal Georgia Community College,GA,92.00
David Andrews,Coastal Georgia Community College,GA,89.00
Todd Gurley,Coastal Georgia Community College,GA,88.25
Demaryius Thomas,,GA,87.50
Shaq Mason,,GA,87.00
Alec Ogletree,Coastal Georgia Community College,GA,86.00
Justin Houston,Coastal Georgia Community College,GA,84.75
Ryan Schraeder,,GA,83.00
Dawan Landry,,GA,81.50
Cordy Glenn,Coastal Georgia Community College,GA,80.00
Jordan Jenkins,Coastal Georgia Community College,GA,79.00
Derrick Morgan,,GA,78.88
Clint Boling,Coastal Georgia Community College,GA,78.38
Richard Seymour,Coastal Georgia Community College,GA,77.00
Reshad Jones,Coastal Georgia Community College,GA,75.88
Ben Jones,Coastal Georgia Community College,GA,74.86
Ben Jones,,GA,74.86
Tim Jennings,Coastal Georgia Community College,GA,72.60
Matt Breida,Georgia Southern University,GA,72.50
Keith Brooking,,GA,72.00
Charles Johnson,,GA,69.70
Harrison Butker,,GA,69.50
Jarvis Jones,Coastal Georgia Community College,GA,69.00
Edwin Jackson,Georgia Southern University,GA,66.00
Morgan Burnett,,GA,66.00
Sean Jones,Coastal Georgia Community College,GA,66.00
Sean Jones,Northeastern Illinois University,GA,66.00
Wil Lutz,,GA,66.00
Albert Wilson,,GA,65.80
Philip Wheeler,,GA,64.00
Will Witherspoon,Coastal Georgia Community College,GA,64.00
Vance Walker,,GA,62.80
Ramik Wilson,Coastal Georgia Community College,GA,62.75
Knowshon Moreno,Coastal Georgia Community College,GA,62.50
Rob Bironas,Georgia Southern University,GA,60.00
Asher Allen,Coastal Georgia Community College,GA,59.00
Hines Ward,Coastal Georgia Community College,GA,59.00
John Kasay,Coastal Georgia Community College,GA,59.00
Chris Conley,Coastal Georgia Community College,GA,58.75
Shawn Williams,Coastal Georgia Community College,GA,58.00
Fernando Velasco,Coastal Georgia Community College,GA,57.60
Abry Jones,Coastal Georgia Community College,GA,56.67
Robert Geathers,Coastal Georgia Community College,GA,55.75
Blair Walsh,Coastal Georgia Community College,GA,55.40
Dannell Ellerbe,Coastal Georgia Community College,GA,51.43
J.J. Wilcox,Georgia Southern University,GA,49.50
Marlon Brown,Coastal Georgia Community College,GA,48.67
Brandon Boykin,Coastal Georgia Community College,GA,48.50
Anthony Hargrove,,GA,48.00
Antwione Williams,Georgia Southern University,GA,48.00
Mohamed Massaquoi,Coastal Georgia Community College,GA,48.00
Ramon Harewood,,GA,48.00
Stephen Hill,,GA,48.00
DeAngelo Tyson,Coastal Georgia Community College,GA,46.33
John Jenkins,Coastal Georgia Community College,GA,46.00
John Jenkins,University of Pittsburgh,GA,46.00
Marquette King,,GA,44.71
Bacarri Rambo,Coastal Georgia Community College,GA,44.50
Jarius Wynn,Coastal Georgia Community College,GA,42.75
Jonathan Dwyer,,GA,41.00
Danny Ware,Coastal Georgia Community College,GA,40.00
Grover Stewart,,GA,40.00
Jeremiah Attaochu,,GA,37.20
Dennis Roland,Coastal Georgia Community College,GA,35.67
Gary Guyton,,GA,35.00
Kregg Lumpkin,Coastal Georgia Community College,GA,35.00
Randy McMichael,Coastal Georgia Community College,GA,35.00
Cornelius Washington,Coastal Georgia Community College,GA,32.20
Christopher Milton,,GA,32.00
Damian Swann,Coastal Georgia Community College,GA,32.00
Darius Eubanks,Georgia Southern University,GA,32.00
James Butler,,GA,32.00
John Theus,Coastal Georgia Community College,GA,32.00
Larry Dean,,GA,32.00
Paul Oliver,Coastal Georgia Community College,GA,32.00
Rod Sweeting,,GA,32.00
Tyler Catalina,Coastal Georgia Community College,GA,32.00
Ukeme Eligwe,Georgia Southern University,GA,32.00
Ricardo Lockette,,GA,31.00
Isaiah McKenzie,Coastal Georgia Community College,GA,29.50
Kedric Golston,Coastal Georgia Community College,GA,26.00
Andrew Economos,,GA,25.00
Darren Waller,,GA,25.00
Andrew Gardner,,GA,23.67
Demarcus Dobbs,Coastal Georgia Community College,GA,23.60
T.J. Barnes,,GA,23.33
Tavarres King,Coastal Georgia Community College,GA,23.33
Ulrick John,,GA,23.33
Alex Armah,,GA,21.50
D.J. White,,GA,21.50
Drew Butler,Coastal Georgia Community College,GA,21.50
Garrison Smith,Coastal Georgia Community College,GA,21.50
Keyaron Fox,,GA,21.50
Leonard Pope,Coastal Georgia Community College,GA,21.50
Mario Butler,,GA,21.50
Will Heller,,GA,21.50
Isaiah Johnson,,GA,20.67
Orson Charles,Coastal Georgia Community College,GA,19.40
Christo Bilukidi,,GA,18.00
Corvey Irvin,Coastal Georgia Community College,GA,18.00
Amarlo Herrera,Coastal Georgia Community College,GA,11.00
Brandon Coutu,Coastal Georgia Community College,GA,11.00
Brandon Watts,,GA,11.00
Chigbo Anunoby,,GA,11.00
Darryl Gamble,Coastal Georgia Community College,GA,11.00
Dylan Donahue,,GA,11.00
Jemea Thomas,,GA,11.00
Justin Anderson,,GA,11.00
Kevin Cone,,GA,11.00
Kiante Tripp,Coastal Georgia Community College,GA,11.00
Kwame Geathers,Coastal Georgia Community College,GA,11.00
Laron Scott,Georgia Southern University,GA,11.00
Lawrence Virgil,,GA,11.00
Maurice Smith,Coastal Georgia Community College,GA,11.00
Maurice Smith,,GA,11.00
Mike Cox,,GA,11.00
Prince Miller,Coastal Georgia Community College,GA,11.00
Sanders Commings,Coastal Georgia Community College,GA,11.00
Seantavius Jones,,GA,11.00
Shaun Chapas,Coastal Georgia Community College,GA,11.00
Toby Johnson,Coastal Georgia Community College,GA,11.00
Tyrell Adams,,GA,11.00
Samson Satele,Hawaii Pacific University,HI,85.00
Isaac Sopoaga,Hawaii Pacific University,HI,73.67
Davone Bess,Hawaii Pacific University,HI,66.67
Wayne Hunter,Hawaii Pacific University,HI,63.50
Rigoberto Sanchez,Hawaii Pacific University,HI,53.50
Ryan Mouton,Hawaii Pacific University,HI,32.00
Alex Green,Hawaii Pacific University,HI,31.67
Alex Green,Indiana State University,HI,31.67
Mat McBriar,Hawaii Pacific University,HI,30.75
Greg Salas,Hawaii Pacific University,HI,25.00
Kealoha Pilares,Hawaii Pacific University,HI,21.50
Joey Iosefa,Hawaii Pacific University,HI,11.00
John Estes,Hawaii Pacific University,HI,11.00
Mana Silva,Hawaii Pacific University,HI,11.00
Reagan Maui'a,Hawaii Pacific University,HI,11.00
Royce Pollard,Hawaii Pacific University,HI,11.00
Marshal Yanda,Iowa State University,IA,87.13
Riley Reiff,Iowa State University,IA,85.71
Chad Greenway,Iowa State University,IA,84.67
Brandon Scherff,Iowa State University,IA,83.25
Bryan Bulaga,Iowa State University,IA,82.57
George Kittle,Iowa State University,IA,80.50
Kelechi Osemele,,IA,80.29
Damon Harrison,William Penn University,IA,79.86
Anthony Hitchens,Iowa State University,IA,79.00
Ahtyba Rubin,,IA,78.86
Fred Jackson,,IA,78.40
Brad Meester,University of Northern Iowa,IA,77.00
Jonathan Babineaux,Iowa State University,IA,74.67
Desmond King,Iowa State University,IA,74.00
Micah Hyde,Iowa State University,IA,74.00
Mike Daniels,Iowa State University,IA,74.00
Christian Kirksey,Iowa State University,IA,73.60
Brandon Keith,University of Northern Iowa,IA,73.00
Casey Wiegmann,Iowa State University,IA,73.00
Matt Roth,Iowa State University,IA,73.00
Robert Gallery,Iowa State University,IA,73.00
Austin Howard,University of Northern Iowa,IA,71.14
Pat Angerer,Iowa State University,IA,66.33
A.J. Klein,,IA,66.17
Scott Chandler,Iowa State University,IA,66.00
Shonn Greene,Iowa State University,IA,65.00
Kevin Boothe,Cornell College,IA,64.00
J.C. Tretter,Cornell College,IA,62.00
Amari Spievey,Iowa State University,IA,58.50
Austin Blythe,Iowa State University,IA,58.33
Bradley Fletcher,Iowa State University,IA,55.20
Adrian Clayborn,Iowa State University,IA,55.00
Colin Cole,Iowa State University,IA,54.33
Dallas Clark,Iowa State University,IA,54.00
Karl Klug,Iowa State University,IA,48.86
David Johnson,University of Northern Iowa,IA,46.78
Leonard Johnson,,IA,45.29
Charles Godfrey,Iowa State University,IA,45.20
Matt Tobin,Iowa State University,IA,44.00
Casey Kreiter,Iowa State University,IA,41.00
Brandon Myers,Iowa State University,IA,40.83
Christian Ballard,Iowa State University,IA,40.00
Seth Olsen,Iowa State University,IA,40.00
Tim Dobbins,,IA,38.67
Xavier Williams,University of Northern Iowa,IA,37.50
C.J. Fiedorowicz,Iowa State University,IA,35.25
L.J. Fort,University of Northern Iowa,IA,32.17
Benny Sapp,Iowa State University,IA,32.00
David Sims,,IA,32.00
David Sims,,IA,32.00
Jason Baker,Iowa State University,IA,32.00
Ryan Donahue,Iowa State University,IA,32.00
Sean Considine,Iowa State University,IA,32.00
Andrew Donnal,Iowa State University,IA,30.75
Jeff Tarpinian,Iowa State University,IA,30.75
Jeremiah George,,IA,30.33
Bryan Mattison,Iowa State University,IA,29.50
Jaleel Johnson,Iowa State University,IA,29.50
Seneca Wallace,,IA,29.50
Bryan Walters,Cornell College,IA,28.67
Tony Moeaki,Iowa State University,IA,28.25
Deiondre' Hall,University of Northern Iowa,IA,25.00
Billy Cundiff,Drake University,IA,24.60
Adam Gettis,Iowa State University,IA,21.50
Greg Mabin,Iowa State University,IA,21.50
Jake Knott,,IA,21.50
Shaun Prater,Iowa State University,IA,21.50
Tyler Sash,Iowa State University,IA,21.50
James Ferentz,Iowa State University,IA,18.00
Julian Vandervelde,Iowa State University,IA,15.20
A.J. Edds,Iowa State University,IA,11.00
Aaron Kampman,Iowa State University,IA,11.00
Allen Reisner,Iowa State University,IA,11.00
Brad Herman,Iowa State University,IA,11.00
Brandon Wegher,Morningside College,IA,11.00
Cole Croston,Iowa State University,IA,11.00
Collin Franklin,,IA,11.00
E.J. Bibbs,,IA,11.00
Eric Saubert,Drake University,IA,11.00
Hayworth Hicks,,IA,11.00
Jordan Bernstine,Iowa State University,IA,11.00
Makinton Dorleant,University of Northern Iowa,IA,11.00
Markus Zusevics,Iowa State University,IA,11.00
Marvin McNutt,Iowa State University,IA,11.00
Mitch King,Iowa State University,IA,11.00
Nate Kaeding,Iowa State University,IA,11.00
Ricky Stanzi,Iowa State University,IA,11.00
Rob Bruggeman,Iowa State University,IA,11.00
Ryan Mahaffey,University of Northern Iowa,IA,11.00
Jared Allen,,ID,86.00
Ray McDonald,Brigham Young University-Idaho,ID,86.00
Ray McDonald,Central Florida Community College,ID,86.00
Daryn Colledge,,ID,80.50
Jesse Davis,Brigham Young University-Idaho,ID,80.50
Quintin Mikell,,ID,79.00
Mike Iupati,Brigham Young University-Idaho,ID,77.75
Charles Leno,,ID,76.20
Matt Paradis,,ID,75.75
Ryan Clady,,ID,75.60
Jake Scott,Brigham Young University-Idaho,ID,74.00
Jake Scott,Coastal Georgia Community College,ID,74.00
Demarcus Lawrence,,ID,71.80
Titus Young,,ID,66.00
Jay Ajayi,,ID,65.00
George Iloka,,ID,64.86
Orlando Scandrick,,ID,59.57
Evan Dietrich-Smith,,ID,58.50
Billy Winn,,ID,57.80
Darian Thompson,,ID,52.50
Jamar Taylor,,ID,48.33
Korey Toomer,Brigham Young University-Idaho,ID,47.00
Austin Pettis,,ID,44.50
Kyle Wilson,,ID,43.50
Shiloh Keo,Brigham Young University-Idaho,ID,43.40
Legedu Naanee,,ID,42.00
Nate Potter,,ID,40.00
Tanner Vallejo,,ID,40.00
Rees Odhiambo,,ID,34.00
Josh Hill,,ID,33.83
Brandyn Thompson,,ID,32.00
Chris Carr,,ID,32.00
Elijhaa Penny,Brigham Young University-Idaho,ID,32.00
Jeff Charleston,,ID,32.00
T.J. Conley,Brigham Young University-Idaho,ID,32.00
Winston Venable,,ID,32.00
Kellen Moore,,ID,29.50
Jeron Johnson,,ID,21.50
Aaron Grymes,Brigham Young University-Idaho,ID,11.00
Chase Baker,,ID,11.00
David Vobora,Brigham Young University-Idaho,ID,11.00
Donte Deayon,,ID,11.00
Eddie Williams,Brigham Young University-Idaho,ID,11.00
Gerald Alexander,,ID,11.00
JoJo Dickson,Brigham Young University-Idaho,ID,11.00
Justin Veltung,Brigham Young University-Idaho,ID,11.00
Korey Hall,,ID,11.00
Max Komar,Brigham Young University-Idaho,ID,11.00
Tommy Gallarda,,ID,11.00
Bart Scott,Southern Illinois University Carbondale,IL,91.00
Michael Turner,Northern Illinois University,IL,87.50
Doug Free,Northern Illinois University,IL,86.00
David Diehl,Eastern Illinois University,IL,78.00
Corey Liuget,Eastern Illinois University,IL,77.63
Kenny Golladay,Northern Illinois University,IL,77.50
Whitney Mercilus,Eastern Illinois University,IL,76.57
Jon Asamoah,Eastern Illinois University,IL,73.50
Pierre Thomas,Eastern Illinois University,IL,73.20
Brandon Lloyd,Eastern Illinois University,IL,72.00
Tony Pashos,Eastern Illinois University,IL,69.50
Akeem Spence,Eastern Illinois University,IL,67.33
Laurent Robinson,,IL,66.50
Ryan Diem,Northern Illinois University,IL,66.00
Jeff Allen,Eastern Illinois University,IL,62.00
Jeff Allen,,IL,62.00
Jeff Allen,,IL,62.00
Rashard Mendenhall,Eastern Illinois University,IL,62.00
Neil Rackers,Eastern Illinois University,IL,59.00
Mike Scifres,,IL,52.40
Alan Ball,Eastern Illinois University,IL,52.00
Ted Karras,Eastern Illinois University,IL,51.67
Ted Karras,Indiana State University,IL,51.67
