,Player,AV_Percentile,State,College
1106,Darius Philon,57.75,AR,Arkansas State University
1107,Darius Reynaud,35.0,WV,West Virginia State University
1108,Darius Slay,77.16666666666667,MS,
1109,Darnell Dockett,90.33333333333333,FL,
1110,Darrel Young,31.0,PA,Villanova University
1111,Darrell Daniels,11.0,WA,Central Washington University
1112,Darrell Stuckey,37.666666666666664,KS,Kansas City Kansas Community College
1113,Darrell Williams,30.333333333333332,FL,South Florida Community College
1114,Darrelle Revis,73.42857142857143,PA,University of Pittsburgh
1115,Darren Evans,11.0,VA,
1116,Darren McFadden,56.0,AR,Arkansas State University
1117,Darren Sproles,73.75,KA,
1118,Darren Waller,25.0,GA,
1119,Darrin Reaves,32.0,AL,
1120,Darrin Walls,46.6,IN,University of Notre Dame
1121,Darrion Scott,11.0,OH,
1122,Darrion Weems,11.0,OR,Oregon State University
1123,Darrius Heyward-Bey,44.875,MD,College of Southern Maryland
1124,Darryl Blackstock,32.0,VA,Medical College of Virginia
1125,Darryl Gamble,11.0,GA,Coastal Georgia Community College
1126,Darryl Roberts,48.666666666666664,PA,Franklin and Marshall College
1127,Darryl Sharpton,47.25,FL,
1128,Darryl Tapp,41.142857142857146,VA,
1129,Darvin Adams,11.0,AL,Auburn University
1130,Daryl Smith,80.16666666666667,AL,University of North Alabama
1131,Daryl Smith,80.16666666666667,AL,
1132,Daryl Washington,92.33333333333333,TX,
1133,Daryl Williams,62.5,OK,East Oklahoma State College
1134,Daryl Worley,70.33333333333333,WV,West Virginia State University
1135,Daryn Colledge,80.5,ID,
1136,Dashaun Phillips,21.5,TX,
1137,Dashon Goldson,68.5,WA,Central Washington University
1138,Datone Jones,42.833333333333336,CA,
1139,Davante Adams,83.6,CA,
1140,Dave Ball,42.0,CA,
1141,Dave Rayner,11.0,MI,
1142,Dave Tollefson,40.0,MO,
1143,Dave Zastudil,44.25,OH,Miami University of Ohio
1144,David Akers,38.0,KY,University of Louisville
1145,David Amerson,63.333333333333336,NC,
1146,David Andrews,89.0,GA,Coastal Georgia Community College
1147,David Arkin,11.0,MO,Missouri State University
1148,David Baas,68.0,MI,Central Michigan University
1149,David Bakhtiari,94.33333333333333,CO,Colorado State University
1150,David Bass,45.2,MO,
1151,David Bruton,36.5,IN,University of Notre Dame
1152,David Buehler,11.0,SC,
1153,David Caldwell,66.0,VA,
1154,David Caldwell,66.0,VA,
1155,David Carr,11.0,CA,
1156,David Carter,39.333333333333336,CA,
1157,David Carter,39.333333333333336,CA,
1158,David Cobb,32.0,MN,"Minnesota State University, Mankato"
1159,David DeCastro,83.85714285714286,CA,Stanford University
1160,David Diehl,78.0,IL,Eastern Illinois University
1161,David Douglas,11.0,AZ,Arizona State University
1162,David Douglas,11.0,AZ,East Tennessee State University
1163,David Fales,21.5,CA,
1164,David Fluellen,11.0,OH,University of Toledo
1165,David Gettis,11.0,TX,Baylor University
1166,David Gilreath,11.0,WI,University of Wisconsin at La Crosse
1167,David Hawthorne,72.4,TX,
1168,David Hunter,11.0,TX,Houston Baptist University
1169,David Johnson,46.77777777777778,IA,University of Northern Iowa
1170,David Jones,11.0,TX,North Central Texas College
1171,David Jones,11.0,TX,Wingate University
1172,David Jones,11.0,TX,
1173,David King,16.25,AL,Auburn University
1174,David King,16.25,AL,East Oklahoma State College
1175,David Mims,11.0,TX,Baylor University
1176,David Molk,30.333333333333332,MI,Central Michigan University
1177,David Morgan,18.0,TX,
1178,David Nelson,38.5,FL,Central Florida Community College
1179,David Nelson,38.5,FL,
1180,David Nixon,32.0,UT,
1181,David Onyemata,52.333333333333336,canada,
1182,David Parry,46.5,CA,Stanford University
1183,David Paulson,21.5,OR,Oregon State University
1184,David Reed,18.0,UT,College of Eastern Utah
1185,David Sharpe,21.5,FL,Central Florida Community College
1186,David Sims,32.0,IA,
1187,David Sims,32.0,IA,
1188,David Snow,32.0,TX,North Central Texas College
1189,David Stewart,79.0,MS,
1190,David Thomas,21.5,TX,North Central Texas College
1191,David Vobora,11.0,ID,Brigham Young University-Idaho
1192,David Williams,11.0,FL,Central Florida Community College
1193,David Williams,11.0,FL,Eastern Illinois University
1194,David Wilson,49.0,CA,California Lutheran University
1195,David Wilson,49.0,CA,
1196,Davin Joseph,67.0,OK,East Oklahoma State College
1197,Davin Meggett,11.0,MD,College of Southern Maryland
1198,Davon Coleman,21.5,AZ,
1199,Davon Godchaux,72.0,LA,
1200,Davon House,44.875,NM,
1201,Davone Bess,66.66666666666667,HI,Hawaii Pacific University
1202,Dawan Landry,81.5,GA,
1203,Dawuane Smoot,40.0,IL,Eastern Illinois University
1204,De'Andre Presley,11.0,,
1205,De'Angelo Henderson,11.0,SC,Coastal Carolina University
1206,De'Ante Saunders,11.0,TN,
1207,De'Anthony Thomas,36.4,OR,Oregon State University
1208,De'Ondre Wesley,11.0,UT,
1209,De'Vante Bausby,21.5,PA,
1210,De'Vante Harris,32.0,TX,
1211,De'Vondre Campbell,81.33333333333333,MN,"Minnesota State University, Mankato"
1212,DeAndre Elliott,32.0,CO,
1213,DeAndre Hopkins,90.33333333333333,SC,Clemson University
1214,DeAndre Houston-Carson,25.0,VA,
1215,DeAndre Levy,67.0,WI,University of Wisconsin at La Crosse
1216,DeAndre Washington,52.333333333333336,TX,Texas Tech University
1217,DeAndrew White,11.0,AL,University of Alabama
1218,DeAngelo Hall,57.0,VA,
1219,DeAngelo Tyson,46.333333333333336,GA,Coastal Georgia Community College
1220,DeAngelo Williams,76.5,TN,University of Memphis
1221,DeDe Lattimore,32.0,FL,South Florida Community College
1222,DeForest Buckner,88.33333333333333,OR,Oregon State University
1223,DeJon Gomes,42.666666666666664,NE,University of Nebraska at Kearney
1224,DeMarco Murray,88.71428571428571,OK,East Oklahoma State College
1225,DeMarco Sampson,11.0,CA,
1226,DeMarcus Van Dyke,30.333333333333332,FL,
1227,DeMarcus Walker,32.0,FL,
1228,DeMarcus Ware,86.33333333333333,AL,Troy University
1229,DeMario Pressley,11.0,NC,
1230,DeMeco Ryans,82.4,AL,University of Alabama
1231,DeQuan Menzie,11.0,AL,University of Alabama
1232,DeSean Jackson,82.25,CA,California Lutheran University
1233,DeShawn Shead,33.57142857142857,OR,
1234,DeVante Parker,64.75,KY,University of Louisville
1235,DeVier Posey,25.0,OH,
1236,DeVonte Holloman,32.0,SC,South Carolina State University
1237,Dean Lowry,63.333333333333336,OK,Northwestern Oklahoma State University
1238,Deandre Coleman,11.0,CA,California Lutheran University
1239,Deangelo Peterson,11.0,LA,
1240,Dede Westbrook,69.0,OK,East Oklahoma State College
1241,Dedrick Epps,11.0,FL,
1242,Dee Ford,66.2,AL,Auburn University
1243,Dee Milliner,38.666666666666664,AL,University of Alabama
1244,Deion Branch,68.5,KY,University of Louisville
1245,Deion Jones,80.0,LA,
1246,Deiondre' Hall,25.0,IA,University of Northern Iowa
1247,Deiontrez Mount,18.0,KY,University of Louisville
1248,Deji Karim,30.333333333333332,IL,Southern Illinois University Carbondale
1249,Dekoda Watson,34.125,FL,
1250,Delanie Walker,66.125,MO,
1251,Delano Hill,40.0,MI,Central Michigan University
1252,Delano Johnson,11.0,MY,
1253,Delone Carter,30.333333333333332,NY,Syracuse University
1254,Delvin Breaux,57.0,LA,
1255,Demar Dotson,76.25,MS,University of Southern Mississippi
1256,Demarcus Ayers,11.0,TX,Houston Baptist University
1257,Demarcus Dobbs,23.6,GA,Coastal Georgia Community College
1258,Demarcus Lawrence,71.8,ID,
1259,Demarcus Love,11.0,AR,Arkansas State University
1260,Demarcus Robinson,39.333333333333336,FL,Central Florida Community College
1261,Demaryius Thomas,87.5,GA,
1262,Demetress Bell,59.0,LA,
1263,Demetri Goodson,25.0,TX,Baylor University
1264,Demetrious Cox,11.0,MI,
1265,Demetrius Harris,34.2,WI,
1266,Demetrius McCray,41.0,,
1267,Demetrius Rhaney,25.0,TN,
1268,Demontre Hurst,32.0,OK,East Oklahoma State College
1269,Demorrio Williams,49.0,NE,University of Nebraska at Kearney
1270,Denard Robinson,42.0,MI,Central Michigan University
1271,Denarius Moore,52.4,TN,East Tennessee State University
1272,Denico Autry,64.0,MS,
1273,Dennis Dixon,11.0,OR,Oregon State University
1274,Dennis Johnson,32.0,AR,Arkansas State University
1275,Dennis Kelly,51.333333333333336,IN,Purdue University
1276,Dennis Pitta,56.4,UT,
1277,Dennis Roland,35.666666666666664,GA,Coastal Georgia Community College
1278,Denver Kirkland,29.5,AR,Arkansas State University
1279,Denzel Rice,18.0,SC,Coastal Carolina University
1280,Denzelle Good,57.25,NC,Mars Hill College
1281,Deon Bush,37.333333333333336,FL,
1282,Deon Butler,11.0,PA,
1283,Deon Grant,66.0,TN,East Tennessee State University
1284,Deon King,21.5,VA,
1285,Deon Lacey,32.0,AL,University of West Alabama
1286,Deon Simon,48.0,LA,
1287,Deone Bucannon,73.8,WA,
1288,Deontae Skinner,21.5,MS,
1289,Deonte Thompson,34.142857142857146,FL,Central Florida Community College
1290,Derek Carr,91.4,CA,
1291,Derek Carrier,20.0,WI,Beloit College
1292,Derek Cox,66.0,VA,
1293,Derek Dennis,11.0,TX,Temple College
1294,Derek Hagan,48.0,AZ,
1295,Derek Hardman,11.0,KY,
1296,Derek Landri,46.333333333333336,IN,University of Notre Dame
1297,Derek Moye,11.0,PA,
1298,Derek Newton,61.42857142857143,AK,
1299,Derek Sherrod,26.75,MS,
1300,Derek Watt,18.0,WI,University of Wisconsin at La Crosse
1301,Derek Wolfe,83.28571428571429,OH,University of Cincinnati
1302,Derrick Coleman,14.5,CA,
1303,Derrick Dockery,48.0,TX,North Central Texas College
1304,Derrick Harvey,32.0,FL,Central Florida Community College
1305,Derrick Jones,11.0,MS,Mississippi College
1306,Derrick Jones,11.0,MS,
1307,Derrick Kindred,54.0,TX,
1308,Derrick Mason,32.0,MI,
1309,Derrick Morgan,78.875,GA,
1310,Derrick Shelby,51.42857142857143,UT,College of Eastern Utah
1311,Derrick Ward,32.0,CA,
1312,Derron Smith,32.0,CA,
1313,Deshazor Everett,42.75,TX,
1314,Desmond Bishop,34.75,CA,California Lutheran University
1315,Desmond Bryant,76.8,MA,Harvard University
1316,Desmond King,74.0,IA,Iowa State University
1317,Desmond Trufant,75.83333333333333,WA,Central Washington University
1318,Desmond Wynn,11.0,NJ,"Rutgers, the State University of New Jersey"
1319,Destiny Vaeao,32.0,WA,
1320,Deuce Lutui,45.5,SC,
1321,Devante Bond,40.0,OK,East Oklahoma State College
1322,Devante Mays,11.0,UT,
1323,Deveron Carr,11.0,AZ,
1324,Devery Henderson,66.0,LA,
1325,Devin Aromashodu,57.0,AL,Auburn University
1326,Devin Funchess,73.5,MI,Central Michigan University
1327,Devin Hester,43.333333333333336,FL,
1328,Devin McCourty,82.75,NJ,"Rutgers, the State University of New Jersey"
1329,Devin Moore,11.0,WY,University of Wyoming
1330,Devin Smith,32.0,OH,
1331,Devin Street,21.5,PA,University of Pittsburgh
1332,Devin Taylor,48.0,SC,South Carolina State University
1333,Devin Thomas,11.0,MI,
1334,Devon Kennard,72.6,SC,
1335,Devon Still,32.0,PA,
1336,Devon Wylie,11.0,CA,
1337,Devontae Booker,63.666666666666664,UT,College of Eastern Utah
1338,Dewey McDonald,21.5,CA,
1339,Dexter Davis,11.0,SC,Clemson University
1340,Dexter Davis,11.0,SC,
1341,Dexter McCluster,54.666666666666664,MS,Mississippi College
1342,Dexter McCoil,21.5,OK,University of Tulsa
1343,Dexter McDonald,23.333333333333332,KS,Kansas City Kansas Community College
1344,Dexter McDougle,21.5,MD,College of Southern Maryland
1345,Deyshawn Bond,48.0,OH,University of Cincinnati
1346,Dez Bryant,88.14285714285714,OK,
1347,Dezman Moses,33.5,LA,Tulane University
1348,Dezmen Southward,18.0,WI,University of Wisconsin at La Crosse
1349,Dezmin Lewis,11.0,AR,University of Central Arkansas
1350,Dezmon Briscoe,35.0,KS,Kansas City Kansas Community College
1351,Dillon Farrell,32.0,NM,New Mexico Highlands University
1352,Dillon Gordon,11.0,LA,
1353,Dimitri Patterson,50.0,MO,
1354,Dion Bailey,32.0,SC,
1355,Dion Dawkins,76.0,TX,Temple College
1356,Dion Jordan,42.75,OR,Oregon State University
1357,Dion Lewis,62.833333333333336,PA,University of Pittsburgh
1358,Dion Sims,32.166666666666664,MI,
1359,Dion Turner,11.0,UT,Southern Utah University
1360,Dom DeCicco,21.5,PA,University of Pittsburgh
1361,Domata Peko,87.75,MI,
1362,Domenik Hixon,40.666666666666664,OH,University of Akron
1363,Dominic Raiola,89.0,NE,University of Nebraska at Kearney
1364,Dominique Alexander,21.5,OK,East Oklahoma State College
1365,Dominique Barber,11.0,MN,"Minnesota State University, Mankato"
1366,Dominique Curry,11.0,CA,
1367,Dominique Easley,44.0,FL,Central Florida Community College
1368,Dominique Franks,38.75,OK,East Oklahoma State College
1369,Dominique Hamilton,11.0,MO,Missouri Southern State University
1370,Dominique Hatfield,32.0,UT,College of Eastern Utah
1371,Dominique Jones,16.25,WV,Shepherd College
1372,Domonique Foxworth,11.0,MD,College of Southern Maryland
1373,Don Barclay,58.8,WV,West Virginia State University
1374,Don Carey,34.125,VA,
1375,Don Jackson,11.0,NC,North Carolina A&T State University
1376,Don Jackson,11.0,NC,University of Nevada-Las Vegas
1377,Don Jones,21.5,WA,Central Washington University
1378,Don Jones,21.5,WA,
1379,Don Muhlbach,38.75,TX,
1380,Donald Brown,62.2,CT,Central Connecticut State University
1381,Donald Brown,62.2,CT,East Oklahoma State College
1382,Donald Butler,75.66666666666667,WA,Central Washington University
1383,Donald Driver,52.5,MS,
1384,Donald Hawkins,11.0,TX,North Central Texas College
1385,Donald Jones,57.0,OH,
1386,Donald Penn,81.75,UT,
1387,Donald Strickland,32.0,CO,Colorado State University
1388,Donald Thomas,53.0,CT,Central Connecticut State University
1389,Donald Washington,32.0,OH,
1390,Donnie Avery,54.25,TX,Houston Baptist University
1391,Donnie Fletcher,11.0,MA,
1392,Donovan McNabb,66.0,NY,Syracuse University
1393,Donovan Smith,90.5,PA,
1394,Dontae Johnson,42.4,NC,
1395,Dontari Poe,87.14285714285714,TN,University of Memphis
1396,Dontay Moch,11.0,NV,University of Nevada-Las Vegas
1397,Donte Deayon,11.0,ID,
1398,Donte Moncrief,65.8,MS,Mississippi College
1399,Donte Whitner,79.5,OH,
1400,Donte' Stallworth,40.0,TN,East Tennessee State University
1401,Donteea Dye,21.5,OH,
1402,Dontrelle Inman,58.8,VA,Medical College of Virginia
1403,Doran Grant,11.0,OH,
1404,Dorial Green-Beckham,62.5,OK,East Oklahoma State College
1405,Dorin Dickerson,21.5,PA,University of Pittsburgh
1406,Doug Free,86.0,IL,Northern Illinois University
1407,Doug Hogue,32.0,NY,Syracuse University
1408,Doug Legursky,51.6,PA,Franklin and Marshall College
1409,Doug Middleton,21.5,,
1410,Doug Worthington,11.0,OH,
1411,Drake Dunsmore,11.0,OK,Northwestern Oklahoma State University
1412,Drake Nevis,37.333333333333336,LA,
1413,Drayton Florence,62.333333333333336,TN,
1414,Dre Kirkpatrick,61.714285714285715,AL,University of Alabama
1415,Dreamius Smith,11.0,WV,West Virginia State University
1416,Drew Brees,98.875,IN,Purdue University
1417,Drew Butler,21.5,GA,Coastal Georgia Community College
1418,Drew Coleman,59.0,TX,
1419,Drew Kaser,43.0,TX,
1420,Drew Miller,11.0,FL,Central Florida Community College
1421,Drew Nowak,29.333333333333332,MI,
1422,Drew Stanton,27.6,MI,
1423,Dri Archer,11.0,OH,
1424,DuJuan Harris,31.0,AL,Troy University
1425,Duane Brown,87.875,VA,
1426,Duke Calhoun,11.0,TN,University of Memphis
1427,Duke Ihenacho,34.2,CA,
1428,Duke Johnson,72.75,FL,
1429,Duke Riley,62.5,LA,
1430,Duke Williams,45.5,NV,University of Nevada-Las Vegas
1431,Dunta Robinson,65.33333333333333,SC,South Carolina State University
1432,Dustin Colquitt,50.75,TN,East Tennessee State University
1433,Dustin Keller,63.5,IN,Purdue University
1434,Dustin Waldron,11.0,OR,
1435,Dwan Edwards,59.4,OR,
1436,Dwayne Allen,39.57142857142857,SC,Clemson University
1437,Dwayne Bowe,67.4,LA,
1438,Dwayne Gratz,47.75,CT,Central Connecticut State University
1439,Dwayne Harris,35.375,NC,East Carolina University
1440,Dwayne Hendricks,11.0,FL,
1441,Dwayne Washington,30.333333333333332,WA,Central Washington University
1442,Dwight Freeney,54.0,NY,Syracuse University
1443,Dwight Lowery,69.0,CA,
1444,Dylan Cole,40.0,MO,Missouri State University
1445,Dylan Donahue,11.0,GA,
1446,Dylan Gandy,37.333333333333336,TX,Texas Tech University
1447,E.J. Bibbs,11.0,IA,
1448,E.J. Biggers,48.4,MI,
1449,E.J. Gaines,60.5,MO,Missouri Southern State University
1450,E.J. Henderson,73.0,MD,College of Southern Maryland
1451,EJ Manuel,46.6,FL,
1452,Earl Bennett,55.333333333333336,TN,Vanderbilt University
1453,Earl Okine,11.0,FL,Central Florida Community College
1454,Earl Thomas,87.5,TX,Houston Baptist University
1455,Earl Thomas,87.5,TX,North Central Texas College
1456,Earl Watford,46.0,VA,James Madison University
1457,Earl Wolff,45.5,NC,
1458,Early Doucet,52.5,LA,
1459,Earnest Graham,48.0,FL,Central Florida Community College
1460,Eben Britton,42.75,AZ,Arizona State University
1461,Ed Dickson,45.375,OR,Oregon State University
1462,Ed Reynolds,40.0,VA,Medical College of Virginia
1463,Ed Reynolds,40.0,VA,Stanford University
1464,Eddie Goldman,77.25,FL,
1465,Eddie Jackson,91.0,AR,Arkansas State University
1466,Eddie Jackson,91.0,AR,University of Alabama
1467,Eddie Jones,11.0,TX,North Central Texas College
1468,Eddie Lacy,77.2,AL,University of Alabama
1469,Eddie Pleasant,31.285714285714285,OR,Oregon State University
1470,Eddie Royal,60.166666666666664,VA,
1471,Eddie Vanderdoes,73.0,CA,
1472,Eddie Whitley,11.0,VA,
1473,Eddie Williams,11.0,ID,Brigham Young University-Idaho
1474,Eddie Yarbrough,63.5,WY,University of Wyoming
1475,Edgar Jones,30.333333333333332,PA,University of Pittsburgh
1476,Edgar Jones,30.333333333333332,PA,
1477,Edmond Robinson,25.0,SC,Newberry College
1478,Edwin Baker,18.0,MI,
1479,Edwin Jackson,66.0,GA,Georgia Southern University
1480,Edwin Williams,45.5,MD,College of Southern Maryland
1481,Ejuan Price,11.0,PA,University of Pittsburgh
1482,Elandon Roberts,78.0,TX,Houston Baptist University
1483,Elbert Mack,26.75,AL,Troy University
1484,Eldra Buckley,11.0,TN,
1485,Eli Ankou,21.5,CA,
1486,Eli Apple,68.0,OH,
1487,Eli Harold,56.5,VA,Medical College of Virginia
1488,Eli Manning,94.125,MS,Mississippi College
1489,Elijah Hood,11.0,NC,North Carolina A&T State University
1490,Elijah Lee,49.0,KA,
1491,Elijah Qualls,32.0,WA,Central Washington University
1492,Elijah Wilkinson,45.5,MA,Massachusetts College of Liberal Arts
1493,Elijhaa Penny,32.0,ID,Brigham Young University-Idaho
1494,Ellis Lankster,30.75,WV,West Virginia State University
1495,Elvis Dumervil,74.57142857142857,KY,University of Louisville
1496,Emanuel Cook,11.0,SC,South Carolina State University
1497,Emil Igwenagu,11.0,MA,Massachusetts College of Liberal Arts
1498,Emmanuel Acho,23.333333333333332,TX,North Central Texas College
1499,Emmanuel Arceneaux,11.0,MS,
1500,Emmanuel Lamur,50.666666666666664,KA,
1501,Emmanuel Ogbah,78.66666666666667,OK,
1502,Emmanuel Stephens,29.5,MS,Mississippi College
1503,Emmett Cleary,32.0,MA,
1504,Ereck Flowers,79.25,FL,
1505,Eric Bakhtiari,11.0,CA,San Diego City College
1506,Eric Decker,79.14285714285714,MN,"Minnesota State University, Mankato"
1507,Eric Ebron,70.2,NC,North Carolina A&T State University
1508,Eric Fisher,89.16666666666667,MI,Central Michigan University
1509,Eric Frampton,25.0,WA,
1510,Eric Hagg,40.0,NE,University of Nebraska at Kearney
1511,Eric Kendricks,88.0,CA,
1512,Eric Moore,11.0,IN,Indiana State University
1513,Eric Moore,11.0,IN,
1514,Eric Murray,41.0,MN,"Minnesota State University, Mankato"
1515,Eric Norwood,32.0,SC,South Carolina State University
1516,Eric Olsen,35.0,IN,University of Notre Dame
1517,Eric Page,32.0,OH,University of Toledo
1518,Eric Patterson,11.0,IN,
1519,Eric Pinkins,11.0,CA,
1520,Eric Reid,73.83333333333333,LA,
1521,Eric Rowe,42.75,UT,College of Eastern Utah
1522,Eric Saubert,11.0,IA,Drake University
1523,Eric Smith,60.5,MI,
1524,Eric Smith,60.5,MI,
1525,Eric Smith,60.5,MI,
1526,Eric Tomlinson,32.0,TX,
1527,Eric Weddle,91.625,UT,College of Eastern Utah
1528,Eric Weems,18.0,FL,Bethune-Cookman College
1529,Eric Wilson,45.5,MD,College of Southern Maryland
1530,Eric Wilson,45.5,MD,University of Cincinnati
1531,Eric Winston,58.142857142857146,FL,
1532,Eric Wood,82.71428571428571,KY,University of Louisville
1533,Eric Wright,61.0,MO,Missouri Southern State University
1534,Eric Wright,61.0,MO,
1535,Eric Wright,61.0,MO,
1536,Erik Coleman,35.0,WA,
1537,Erik Cook,32.0,NM,New Mexico Highlands University
1538,Erik Harris,30.333333333333332,CA,
1539,Erik Lorig,16.25,CA,Stanford University
1540,Erik Magnuson,32.0,MI,Central Michigan University
1541,Erik Pears,79.4,CO,
1542,Erik Swoope,34.0,FL,
1543,Erik Walden,78.71428571428571,TN,
1544,Erin Henderson,61.6,MD,College of Southern Maryland
1545,Ernest Owusu,11.0,CA,California Lutheran University
1546,Ernie Sims,51.666666666666664,FL,
1547,Eron Riley,11.0,NC,Duke University
1548,Ethan Pocic,60.5,LA,
1549,Eugene Amano,50.0,MO,
1550,Eugene Sims,56.5,TX,
1551,Evan Boehm,54.0,MO,Missouri Southern State University
1552,Evan Dietrich-Smith,58.5,ID,
1553,Evan Mathis,74.33333333333333,AL,University of Alabama
1554,Evan Moore,29.5,CA,Stanford University
1555,Evan Rodriguez,11.0,TX,Temple College
1556,Evan Royster,35.666666666666664,PA,
1557,Evander Hood,63.0,MO,Missouri Southern State University
1558,Everett Dawkins,11.0,FL,
1559,Everette Brown,18.0,FL,
1560,Everrette Thompson,11.0,WA,Central Washington University
1561,Everson Griffen,75.375,SC,
1562,Ezekiel Ansah,79.16666666666667,UT,
1563,Ezekiel Elliott,97.0,OH,
1564,Fabian Moreau,49.0,CA,
1565,Felix Jones,66.66666666666667,AR,Arkansas State University
1566,Fendi Onobun,11.0,TX,Houston Baptist University
1567,Fernando Velasco,57.6,GA,Coastal Georgia Community College
1568,Fili Moala,66.0,SC,
1569,Fitzgerald Toussaint,16.25,MI,Central Michigan University
1570,Fletcher Cox,91.57142857142857,MS,
1571,Fozzy Whittaker,35.666666666666664,TX,North Central Texas College
1572,Frank Alexander,43.0,OK,East Oklahoma State College
1573,Frank Clark,73.75,MI,Central Michigan University
1574,Frank Gore,88.75,FL,
1575,Frank Kearse,30.0,AL,
1576,Frank Okam,32.0,TX,North Central Texas College
1577,Frank Omiyale,48.0,TN,Tennessee Technological University
1578,Frank Summers,21.5,NV,
1579,Frank Walker,32.0,AL,Tuskegee University
1580,Frank Zombo,50.625,MI,Central Michigan University
1581,Fred Davis,49.666666666666664,AL,University of Alabama
1582,Fred Davis,49.666666666666664,AL,
1583,Fred Davis,49.666666666666664,AL,
1584,Fred Evans,42.666666666666664,IN,University of Notre Dame
1585,Fred Evans,42.666666666666664,IN,
1586,Fred Jackson,78.4,IA,
1587,Freddie Bishop,32.0,MI,
1588,Frostee Rucker,73.25,SC,
1589,Gabe Carimi,56.25,WI,University of Wisconsin at La Crosse
1590,Gabe Ikard,11.0,OK,East Oklahoma State College
1591,Gabe Jackson,78.8,MS,
1592,Gabe Wright,18.0,AL,Auburn University
1593,Garrett Celek,30.714285714285715,MI,
1594,Garrett Gilkey,32.0,NE,
1595,Garrett Graham,35.4,WI,University of Wisconsin at La Crosse
1596,Garrett Grayson,11.0,CO,
1597,Garrett McIntyre,54.0,CA,
1598,Garrett Reynolds,56.166666666666664,NC,North Carolina A&T State University
1599,Garrison Sanborn,34.0,FL,
1600,Garrison Smith,21.5,GA,Coastal Georgia Community College
1601,Garry Gilliam,54.4,PA,
1602,Garry Williams,33.666666666666664,KY,Eastern Kentucky University
1603,Gary Barnidge,49.4,KY,University of Louisville
1604,Gary Brackett,32.0,NJ,"Rutgers, the State University of New Jersey"
1605,Gary Gibson,42.666666666666664,NJ,"Rutgers, the State University of New Jersey"
1606,Gary Guyton,35.0,GA,
1607,Gator Hoskins,11.0,PA,Franklin and Marshall College
1608,Gavin Escobar,19.4,CA,
1609,Geneo Grissom,26.75,OK,East Oklahoma State College
1610,Geno Atkins,93.0,GA,Coastal Georgia Community College
1611,Geno Hayes,69.25,FL,
1612,Geno Smith,49.0,WV,West Virginia State University
1613,Geoff Hangartner,70.0,TX,
1614,Geoff Schwartz,50.75,OR,Oregon State University
1615,Geoff Swaim,25.5,TX,North Central Texas College
1616,George Atkinson,11.0,IN,University of Notre Dame
1617,George Atkinson,11.0,IN,
1618,George Fant,76.0,KY,
1619,George Farmer,11.0,AL,Birmingham-Southern College
1620,George Farmer,11.0,AL,
1621,George Farmer,11.0,AL,
1622,George Iloka,64.85714285714286,ID,
1623,George Johnson,28.0,NJ,"Rutgers, the State University of New Jersey"
1624,George Kittle,80.5,IA,Iowa State University
1625,George Selvie,54.0,FL,South Florida Community College
1626,George Uko,11.0,SC,
1627,George Wilson,63.25,AR,Arkansas State University
1628,George Wilson,63.25,AR,Lafayette College
1629,George Wilson,63.25,AR,Northwestern Oklahoma State University
1630,George Wilson,63.25,AR,University of Notre Dame
1631,George Winn,11.0,OH,University of Cincinnati
1632,Gerald Alexander,11.0,ID,
1633,Gerald Christian,11.0,KY,University of Louisville
1634,Gerald Hodges,57.0,PA,
1635,Gerald McCoy,86.625,OK,East Oklahoma State College
1636,Gerald McRath,21.5,MS,University of Southern Mississippi
1637,Gerald Rivers,11.0,MS,Mississippi College
1638,Gerald Sensabaugh,76.0,TN,
1639,Gerard Warren,11.0,FL,Central Florida Community College
1640,Germain Ifedi,83.0,TX,
1641,Geronimo Allison,48.0,IL,Eastern Illinois University
1642,Gerrell Robinson,11.0,AZ,
1643,Gibril Wilson,48.0,TN,East Tennessee State University
1644,Gino Gradkowski,39.0,PA,Delaware County Community College
1645,Giorgio Tavecchio,40.0,CA,California Lutheran University
1646,Giovani Bernard,80.66666666666667,NC,North Carolina A&T State University
1647,Givens Price,11.0,NE,University of Nebraska at Kearney
1648,Glenn Carson,32.0,PA,
1649,Glenn Dorsey,64.0,LA,
1650,Glenn Gronkowski,11.0,KA,
1651,Glenn Winston,11.0,MI,
1652,Glover Quin,80.5,NM,New Mexico Highlands University
1653,Golden Tate,85.875,IN,University of Notre Dame
1654,Gosder Cherilus,82.83333333333333,MA,
1655,Grady Jarrett,73.75,SC,Clemson University
1656,Graham Gano,54.875,FL,
1657,Graham Glasgow,85.66666666666667,MI,Central Michigan University
1658,Graham Harrell,11.0,TX,Texas Tech University
1659,Greg Camarillo,21.5,CA,Stanford University
1660,Greg Childs,11.0,AR,Arkansas State University
1661,Greg Ducre,21.5,WA,Central Washington University
1662,Greg Jenkins,11.0,AL,
1663,Greg Jennings,71.0,MI,
1664,Greg Jones,20.6,CO,Colorado State University
1665,Greg Jones,20.6,CO,
1666,Greg Jones,20.6,CO,
1667,Greg Jones,20.6,CO,
1668,Greg Little,59.25,NC,North Carolina A&T State University
1669,Greg Lloyd,11.0,CT,Central Connecticut State University
1670,Greg Lloyd,11.0,CT,
1671,Greg Mabin,21.5,IA,Iowa State University
1672,Greg Mancz,52.0,OH,University of Toledo
1673,Greg McCoy,11.0,TX,
1674,Greg McElroy,32.0,AL,University of Alabama
1675,Greg Olsen,78.625,FL,
